Дата покупки;Дата покупки.1;Эл. почта;Валюта;Сумма;Первый товар;Второй товар;Третий товар;Дата регистрации;Unnamed: 9;Эл. почта.1;Дата регистрации.1;Дата регистрации.2
30.11.2021 г.;30.11.2021;cgcra@sbcglobal.net;руб;1 437,00;пенал;пенал;ластик;11.11.2021 г.;;cgcra@sbcglobal.net;11.11.2021 г.;30.11.2021
19.03.2022 г.;19.03.2022;ganter@optonline.net;руб;1 043,00;ручка;фломастер;ручка;02.11.2021 г.;;ganter@optonline.net;02.11.2021 г.;19.03.2022
23.12.2021 г.;23.12.2021;mdielmann@verizon.net;руб;1 290,00;фломастер;ластик;фломастер;26.09.2021 г.;;mdielmann@verizon.net;26.09.2021 г.;23.12.2021
07.02.2022 г.;07.02.2022;ganter@optonline.net;руб;616,00;ручка;точилка;;02.11.2021 г.;;drewf@optonline.net;03.01.2022 г.;07.02.2022
25.03.2022 г.;25.03.2022;drewf@optonline.net;руб;915,00;ручка;ластик;ручка;03.01.2022 г.;;havyn@yahoo.ca;09.11.2021 г.;25.03.2022
04.03.2022 г.;04.03.2022;ganter@optonline.net;руб;1 162,00;ручка;точилка;пенал;02.11.2021 г.;;keiji@gmail.com;22.12.2021 г.;04.03.2022
10.12.2021 г.;10.12.2021;havyn@yahoo.ca;руб;1 262,00;точилка;ручка;;09.11.2021 г.;;lushe@yahoo.com;02.11.2021 г.;10.12.2021
26.09.2021 г.;26.09.2021;mdielmann@verizon.net;руб;990,00;фломастер;карандаш;пенал;26.09.2021 г.;;bjoern@aol.com;10.11.2021 г.;26.09.2021
11.02.2022 г.;11.02.2022;keiji@gmail.com;руб;920,00;ластик;ручка;;22.12.2021 г.;;fmtbebuck@comcast.net;10.10.2021 г.;11.02.2022
07.01.2022 г.;07.01.2022;drewf@optonline.net;руб;1 359,00;фломастер;фломастер;ластик;03.01.2022 г.;;johnbob@mac.com;17.02.2022 г.;07.01.2022
06.02.2022 г.;06.02.2022;keiji@gmail.com;руб;712,00;карандаш;точилка;ручка;22.12.2021 г.;;knorr@gmail.com;27.02.2022 г.;06.02.2022
02.11.2021 г.;02.11.2021;ganter@optonline.net;руб;639,00;фломастер;точилка;;02.11.2021 г.;;ribet@hotmail.com;10.11.2021 г.;02.11.2021
22.12.2021 г.;22.12.2021;keiji@gmail.com;руб;747,00;карандаш;ластик;;22.12.2021 г.;;cderoove@outlook.com;17.09.2021 г.;22.12.2021
30.12.2021 г.;30.12.2021;lushe@yahoo.com;руб;696,00;карандаш;ластик;;02.11.2021 г.;;mavilar@outlook.com;11.10.2021 г.;30.12.2021
16.01.2022 г.;16.01.2022;lushe@yahoo.com;руб;728,00;ластик;карандаш;ручка;02.11.2021 г.;;rjones@comcast.net;18.12.2021 г.;16.01.2022
10.03.2022 г.;10.03.2022;bjoern@aol.com;руб;898,00;пенал;точилка;точилка;10.11.2021 г.;;;;
10.10.2021 г.;10.10.2021;fmtbebuck@comcast.net;руб;1 245,00;ручка;пенал;ластик;10.10.2021 г.;;;;
10.11.2021 г.;10.11.2021;bjoern@aol.com;руб;1 389,00;пенал;фломастер;пенал;10.11.2021 г.;;;;
23.02.2022 г.;23.02.2022;johnbob@mac.com;руб;1 000,00;фломастер;ручка;;17.02.2022 г.;;;;
08.03.2022 г.;08.03.2022;johnbob@mac.com;руб;721,00;карандаш;карандаш;фломастер;17.02.2022 г.;;;;
11.03.2022 г.;11.03.2022;knorr@gmail.com;руб;1 138,00;точилка;ластик;фломастер;27.02.2022 г.;;;;
09.11.2021 г.;09.11.2021;havyn@yahoo.ca;руб;581,00;карандаш;пенал;ручка;09.11.2021 г.;;;;
26.11.2021 г.;26.11.2021;havyn@yahoo.ca;руб;577,00;карандаш;ручка;;09.11.2021 г.;;;;
26.11.2021 г.;26.11.2021;mdielmann@verizon.net;руб;940,00;пенал;ластик;карандаш;26.09.2021 г.;;;;
12.03.2022 г.;12.03.2022;johnbob@mac.com;руб;848,00;точилка;пенал;;17.02.2022 г.;;;;
17.02.2022 г.;17.02.2022;johnbob@mac.com;руб;1 333,00;ластик;точилка;;17.02.2022 г.;;;;
10.11.2021 г.;10.11.2021;ribet@hotmail.com;руб;967,00;ручка;точилка;фломастер;10.11.2021 г.;;;;
09.11.2021 г.;09.11.2021;ganter@optonline.net;руб;1 341,00;пенал;карандаш;ручка;02.11.2021 г.;;;;
03.01.2022 г.;03.01.2022;drewf@optonline.net;руб;582,00;фломастер;карандаш;карандаш;03.01.2022 г.;;;;
10.03.2022 г.;10.03.2022;knorr@gmail.com;руб;1 432,00;ручка;ластик;;27.02.2022 г.;;;;
17.09.2021 г.;17.09.2021;cderoove@outlook.com;руб;1 460,00;фломастер;точилка;фломастер;17.09.2021 г.;;;;
26.10.2021 г.;26.10.2021;mavilar@outlook.com;руб;721,00;точилка;точилка;пенал;11.10.2021 г.;;;;
15.03.2022 г.;15.03.2022;cgcra@sbcglobal.net;руб;1 426,00;ластик;ручка;ластик;11.11.2021 г.;;;;
21.02.2022 г.;21.02.2022;havyn@yahoo.ca;руб;570,00;ручка;карандаш;фломастер;09.11.2021 г.;;;;
22.03.2022 г.;22.03.2022;ribet@hotmail.com;руб;697,00;карандаш;точилка;пенал;10.11.2021 г.;;;;
10.03.2022 г.;10.03.2022;ribet@hotmail.com;руб;1 312,00;точилка;пенал;пенал;10.11.2021 г.;;;;
18.12.2021 г.;18.12.2021;rjones@comcast.net;руб;802,00;ластик;карандаш;ластик;18.12.2021 г.;;;;
11.10.2021 г.;11.10.2021;mavilar@outlook.com;руб;1 210,00;пенал;ластик;карандаш;11.10.2021 г.;;;;
21.02.2022 г.;21.02.2022;fmtbebuck@comcast.net;руб;848,00;фломастер;точилка;ластик;10.10.2021 г.;;;;
11.11.2021 г.;11.11.2021;cgcra@sbcglobal.net;руб;587,00;точилка;фломастер;карандаш;11.11.2021 г.;;;;
02.11.2021 г.;02.11.2021;lushe@yahoo.com;руб;944,00;пенал;пенал;;02.11.2021 г.;;;;
27.02.2022 г.;27.02.2022;knorr@gmail.com;руб;1 231,00;карандаш;;;27.02.2022 г.;;;;
20.12.2021 г.;20.12.2021;mavilar@outlook.com;руб;1 225,00;ручка;карандаш;ластик;11.10.2021 г.;;;;
10.01.2022 г.;10.01.2022;ribet@hotmail.com;руб;560,00;фломастер;пенал;пенал;10.11.2021 г.;;;;
28.12.2021 г.;28.12.2021;bjoern@aol.com;руб;945,00;пенал;точилка;фломастер;10.11.2021 г.;;;;
07.11.2021 г.;07.11.2021;mdielmann@verizon.net;руб;1 049,00;пенал;фломастер;точилка;26.09.2021 г.;;;;
27.03.2022 г.;27.03.2022;rjones@comcast.net;руб;816,00;карандаш;фломастер;;18.12.2021 г.;;;;
27.11.2021 г.;27.11.2021;bjoern@aol.com;руб;1 096,00;карандаш;фломастер;пенал;10.11.2021 г.;;;;
04.02.2022 г.;04.02.2022;rjones@comcast.net;руб;557,00;пенал;фломастер;;18.12.2021 г.;;;;
07.03.2022 г.;07.03.2022;knorr@gmail.com;руб;1 436,00;ручка;пенал;фломастер;27.02.2022 г.;;;;
