Дата транзакции;id Клиента;№ операции;Сумма;Статус;email Клиента;Дата первой продажи;Номер когорты;Количество товаров;Товар 1;Товар 2;Товар 3;Месяц
18.03.2021;1686;;5 725;completed;Oliverthomas88@mail.ru;44253;2;3;1900.0;325.0;3500.0;3
16.11.2021;2185;;912;completed;lucasbrown1993@gmail.com;44304;4;2;;325.0;587.0;11
26.01.2022;2169;;2 465;completed;Liamanderson33@mail.ru;44587;13;3;325.0;240.0;1900.0;13
16.09.2021;2304;;4 700;completed;Liamjackson13@outlook.com;44455;9;3;1900.0;2000.0;800.0;9
08.05.2021;2161;;5 465;completed;Liamlopez33@yahoo.com;44308;4;3;325.0;240.0;4900.0;5
11.06.2021;3706;;4 840;completed;Isabellataylor69@yahoo.com;44279;3;3;3500.0;1100.0;240.0;6
16.04.2021;2276;;1 477;completed;Isabellamoore1987@outlook.com;44302;4;2;;587.0;890.0;4
22.02.2021;3367;;6 025;completed;Williammoore66@yandex.ru;44249;2;3;4900.0;800.0;325.0;2
19.06.2021;3287;;1 712;completed;Williamlopez1987@yahoo.com;44366;6;3;587.0;800.0;325.0;6
26.07.2021;3888;;5 825;completed;Isabellathomas13@yandex.ru;44403;7;3;2000.0;325.0;3500.0;7
15.10.2021;2745;;4 700;completed;Liambrown66@mail.ru;44302;4;3;800.0;1900.0;2000.0;10
20.05.2021;2088;;9 000;completed;Liamtaylor2007@yandex.ru;44336;5;3;3500.0;3500.0;2000.0;5
14.06.2021;3764;;4 387;completed;Williammoore1993@yandex.ru;44316;4;3;1900.0;1900.0;587.0;6
16.11.2021;3570;;1 761;completed;Sophialopez0@outlook.com;44315;4;3;587.0;587.0;587.0;11
08.09.2021;3092;;1 665;completed;sophiathomas0@gmail.com;44447;9;3;240.0;1100.0;325.0;9
26.11.2021;2112;;5 487;completed;Alexandermoore1993@mail.ru;44526;11;2;;587.0;4900.0;11
21.01.2022;4061;;5 465;completed;Liamwilliams12@yahoo.com;44582;13;3;240.0;325.0;4900.0;13
17.03.2021;1410;;4 800;completed;Isabellaanderson88@mail.ru;44272;3;3;2000.0;2000.0;800.0;3
15.09.2021;2750;;5 940;completed;Charlottetaylor69@yandex.ru;44313;4;3;800.0;4900.0;240.0;9
21.02.2021;2997;;1 802;completed;lucaslopez33@gmail.com;44248;2;3;587.0;890.0;325.0;2
02.09.2021;1514;;8 987;completed;alexanderlopez88@gmail.com;44441;9;3;4900.0;587.0;3500.0;9
20.12.2021;1840;;3 590;completed;williambrown33@gmail.com;44259;3;3;1900.0;890.0;800.0;12
18.09.2021;2362;;6 900;completed;Alexanderwilliams2007@mail.ru;44389;7;2;;4900.0;2000.0;9
24.05.2021;1957;;1 802;completed;Lucasanderson88@mail.ru;44340;5;3;325.0;890.0;587.0;5
16.02.2021;3174;;6 500;completed;Sophiasmith33@mail.ru;44243;2;3;1900.0;3500.0;1100.0;2
08.08.2021;3650;;1 687;completed;Avataylor69@yahoo.com;44385;7;2;;587.0;1100.0;8
28.04.2021;1272;;1 365;returned;Oliversmith88@yahoo.com;44314;4;3;800.0;325.0;240.0;4
14.03.2021;3590;;1 900;completed;charlottethomas12@outlook.com;44269;3;2;800.0;1100.0;;3
01.06.2021;2797;;5 487;completed;avawilliams2007@yahoo.com;44348;6;2;4900.0;587.0;;6
17.06.2021;3894;;2 225;completed;Avasmith1993@mail.ru;44364;6;2;325.0;1900.0;;6
21.02.2021;3019;;4 790;completed;Avaanderson1993@mail.ru;44248;2;3;2000.0;1900.0;890.0;2
25.05.2021;1383;;6 290;completed;lucastaylor1993@gmail.com;44248;2;3;1900.0;3500.0;890.0;5
08.08.2021;1236;;4 925;completed;alexanderwilliams88@gmail.com;44416;8;3;325.0;1100.0;3500.0;8
25.05.2021;3082;;2 487;completed;Charlottebrown12@yandex.ru;44318;5;2;1900.0;587.0;;5
09.09.2021;4025;;5 187;completed;Oliverwilliams1993@mail.ru;44448;9;3;3500.0;1100.0;587.0;9
09.10.2021;2599;;5 190;completed;Isabellajackson2007@mail.ru;44438;8;3;3500.0;890.0;800.0;10
14.11.2021;1248;;6 680;completed;isabellajackson33@gmail.com;44286;3;3;890.0;4900.0;890.0;11
02.02.2022;1576;;7 700;completed;Liamjackson69@yandex.ru;44594;14;3;800.0;2000.0;4900.0;14
13.01.2022;2503;;4 540;completed;Isabellasmith13@mail.ru;44574;13;3;3500.0;240.0;800.0;13
09.11.2021;2888;;5 812;completed;Sophiajackson2007@yahoo.com;44325;5;3;587.0;325.0;4900.0;11
01.06.2021;3290;;5 500;returned;Charlottemartinez2007@gmail.com;44348;6;2;;2000.0;3500.0;6
07.01.2022;3611;;5 140;completed;Alexanderanderson33@yahoo.com;44568;13;2;;240.0;4900.0;13
27.03.2021;2703;;4 000;completed;Avalopez13@yahoo.com;44282;3;2;2000.0;;2000.0;3
15.04.2021;3019;;2 140;returned;Avaanderson1993@mail.ru;44248;2;3;1100.0;800.0;240.0;4
08.03.2021;2319;;2 890;completed;Lucaswilliams33@yahoo.com;44263;3;2;2000.0;890.0;;3
11.12.2021;1453;;2 490;completed;Isabellataylor1987@yandex.ru;44338;5;3;890.0;800.0;800.0;12
27.03.2021;2094;;7 387;completed;Liammartinez33@yahoo.com;44273;3;3;1900.0;4900.0;587.0;3
27.11.2021;4041;;4 600;completed;Olivermoore69@yahoo.com;44527;11;3;1900.0;800.0;1900.0;11
20.10.2021;1896;;1 340;completed;Sophiawilliams0@mail.ru;44244;2;2;240.0;;1100.0;10
31.08.2021;1937;;7 890;completed;Lucasthomas0@outlook.com;44420;8;3;3500.0;890.0;3500.0;8
29.05.2021;2920;;1 067;completed;liammartinez1993@gmail.com;44245;2;3;240.0;240.0;587.0;5
30.06.2021;1385;;3 025;completed;Lucaswilliams2007@mail.ru;44377;6;3;325.0;1900.0;800.0;6
27.11.2021;3943;;2 487;returned;Lucaslopez13@yandex.ru;44527;11;2;587.0;1900.0;;11
03.09.2021;2862;;2 187;completed;Lucasmartinez1987@yandex.ru;44442;9;3;587.0;800.0;800.0;9
10.03.2021;1681;;1 927;returned;Emmataylor13@mail.ru;44265;3;3;1100.0;240.0;587.0;3
17.02.2021;1593;;2 325;completed;Charlottelopez13@mail.ru;44244;2;2;325.0;;2000.0;2
26.12.2021;1548;;2 015;completed;Charlottejackson2007@outlook.com;44556;12;3;325.0;890.0;800.0;12
01.08.2021;3678;;1 540;returned;Lucaslopez0@outlook.com;44409;8;3;325.0;325.0;890.0;8
23.03.2021;1644;;4 327;completed;Lucasthomas1993@outlook.com;44278;3;3;3500.0;587.0;240.0;3
20.09.2021;1658;;5 100;completed;liammoore0@gmail.com;44459;9;3;800.0;800.0;3500.0;9
17.03.2021;2934;;3 425;completed;Isabellajackson12@outlook.com;44272;3;3;2000.0;1100.0;325.0;3
20.11.2021;1321;;5 225;completed;Alexanderanderson12@mail.ru;44453;9;2;;325.0;4900.0;11
29.04.2021;1286;;3 900;completed;williamwilliams1987@gmail.com;44288;4;3;2000.0;800.0;1100.0;4
17.06.2021;3411;;2 565;returned;alexanderlopez12@gmail.com;44364;6;3;2000.0;325.0;240.0;6
25.03.2021;2392;;10 900;completed;Emmalopez13@yahoo.com;44270;3;3;4900.0;1100.0;4900.0;3
30.12.2021;3159;;3 825;returned;charlottelopez66@gmail.com;44560;12;2;;3500.0;325.0;12
06.02.2022;1810;;650;completed;Isabellaanderson12@outlook.com;44598;14;2;325.0;325.0;;14
11.10.2021;3822;;2 277;returned;Charlottelopez0@outlook.com;44438;8;3;587.0;800.0;890.0;10
12.12.2021;2464;;6 290;completed;Lucasanderson66@mail.ru;44542;12;3;1900.0;890.0;3500.0;12
25.04.2021;3645;;4 715;completed;emmasmith33@gmail.com;44311;4;3;3500.0;325.0;890.0;4
22.06.2021;1363;;2 380;completed;Isabellamoore66@yandex.ru;44369;6;3;240.0;1900.0;240.0;6
12.04.2021;1721;;6 325;completed;liamsmith1993@gmail.com;44298;4;3;325.0;4900.0;1100.0;4
24.02.2021;2978;;3 425;completed;sophiamartinez88@gmail.com;44251;2;3;1100.0;2000.0;325.0;2
11.06.2021;3599;;7 400;completed;charlottejackson66@gmail.com;44306;4;3;2000.0;3500.0;1900.0;6
14.07.2021;2507;;1 425;returned;charlottewilliams88@outlook.com;44391;7;2;325.0;1100.0;;7
22.04.2021;2103;;7 240;returned;Lucasanderson69@yandex.ru;44308;4;3;3500.0;240.0;3500.0;4
09.08.2021;2719;;6 800;completed;avataylor88@gmail.com;44309;4;3;4900.0;1100.0;800.0;8
26.07.2021;2804;;2 274;completed;lucasbrown0@gmail.com;44403;7;3;587.0;1100.0;587.0;7
09.01.2022;3674;;4 700;completed;Lucaslopez88@yahoo.com;44570;13;3;2000.0;800.0;1900.0;13
18.09.2021;2956;;9 000;returned;Williamlopez33@yandex.ru;44457;9;3;3500.0;3500.0;2000.0;9
28.08.2021;1541;;4 327;completed;Olivertaylor88@outlook.com;44436;8;3;3500.0;587.0;240.0;8
13.06.2021;2129;;2 015;completed;Liamthomas69@yandex.ru;44352;6;3;890.0;325.0;800.0;6
05.07.2021;2933;;1 712;completed;Isabellalopez66@mail.ru;44382;7;3;587.0;800.0;325.0;7
03.07.2021;1441;;4 700;completed;Charlottejackson13@yahoo.com;44380;7;3;2000.0;800.0;1900.0;7
01.08.2021;2596;;4 840;completed;Isabellaanderson66@mail.ru;44409;8;3;1100.0;240.0;3500.0;8
26.06.2021;2395;;5 190;returned;Olivertaylor1987@outlook.com;44373;6;3;800.0;3500.0;890.0;6
05.11.2021;3293;;9 000;completed;Avamartinez12@mail.ru;44342;5;3;3500.0;2000.0;3500.0;11
25.02.2021;3196;;912;completed;Olivertaylor13@yahoo.com;44252;2;2;;587.0;325.0;2
08.01.2022;3021;;3 125;completed;Avathomas1987@mail.ru;44569;13;3;800.0;2000.0;325.0;13
05.09.2021;2838;;2 800;returned;Alexandermartinez0@mail.ru;44315;4;2;;800.0;2000.0;9
15.09.2021;2016;;2 225;returned;Oliverwilliams33@yahoo.com;44454;9;3;800.0;325.0;1100.0;9
09.07.2021;1595;;1 927;completed;alexanderanderson0@gmail.com;44266;3;3;240.0;1100.0;587.0;7
02.07.2021;2047;;2 565;completed;lucasmartinez88@gmail.com;44379;7;3;325.0;240.0;2000.0;7
