Дата покупки;Эл. почта;Сумма;Товары;Unnamed: 4;Unnamed: 5;Эл. почта.1;Дата регистрации
30.11.2021 г.;cgcra@sbcglobal.net;руб.1 437,00;пенал, пенал, ластик;11.11.2021 г.;;cgcra@sbcglobal.net;11.11.2021 г.
19.03.2022 г.;ganter@optonline.net;руб.1 043,00;ручка, фломастер, ручка;;;ganter@optonline.net;02.11.2021 г.
23.12.2021 г.;mdielmann@verizon.net;руб.1 290,00;фломастер, ластик, фломастер;;;mdielmann@verizon.net;26.09.2021 г.
07.02.2022 г.;ganter@optonline.net;руб.616,00;ручка, точилка;;;drewf@optonline.net;03.01.2022 г.
25.03.2022 г.;drewf@optonline.net;руб.915,00;ручка, ластик, ручка;;;havyn@yahoo.ca;09.11.2021 г.
04.03.2022 г.;ganter@optonline.net;руб.1 162,00;ручка, точилка, пенал;;;keiji@gmail.com;22.12.2021 г.
10.12.2021 г.;havyn@yahoo.ca;руб.1 262,00;точилка, ручка;;;lushe@yahoo.com;02.11.2021 г.
26.09.2021 г.;mdielmann@verizon.net;руб.990,00;фломастер, карандаш, пенал;;;bjoern@aol.com;10.11.2021 г.
11.02.2022 г.;keiji@gmail.com;руб.920,00;ластик, ручка;;;fmtbebuck@comcast.net;10.10.2021 г.
07.01.2022 г.;drewf@optonline.net;руб.1 359,00;фломастер, фломастер, ластик;;;johnbob@mac.com;17.02.2022 г.
06.02.2022 г.;keiji@gmail.com;руб.712,00;карандаш, точилка, ручка;;;knorr@gmail.com;27.02.2022 г.
02.11.2021 г.;ganter@optonline.net;руб.639,00;фломастер, точилка;;;ribet@hotmail.com;10.11.2021 г.
22.12.2021 г.;keiji@gmail.com;руб.747,00;карандаш, ластик;;;cderoove@outlook.com;17.09.2021 г.
30.12.2021 г.;lushe@yahoo.com;руб.696,00;карандаш, ластик;;;mavilar@outlook.com;11.10.2021 г.
16.01.2022 г.;lushe@yahoo.com;руб.728,00;ластик, карандаш, ручка;;;rjones@comcast.net;18.12.2021 г.
10.03.2022 г.;bjoern@aol.com;руб.898,00;пенал, точилка, точилка;;;;
10.10.2021 г.;fmtbebuck@comcast.net;руб.1 245,00;ручка, пенал, ластик;;;;
10.11.2021 г.;bjoern@aol.com;руб.1 389,00;пенал, фломастер, пенал;;;;
23.02.2022 г.;johnbob@mac.com;руб.1 000,00;фломастер, ручка;;;;
08.03.2022 г.;johnbob@mac.com;руб.721,00;карандаш, карандаш, фломастер;;;;
11.03.2022 г.;knorr@gmail.com;руб.1 138,00;точилка, ластик, фломастер;;;;
09.11.2021 г.;havyn@yahoo.ca;руб.581,00;карандаш, пенал, ручка;;;;
26.11.2021 г.;havyn@yahoo.ca;руб.577,00;карандаш, ручка;;;;
26.11.2021 г.;mdielmann@verizon.net;руб.940,00;пенал, ластик, карандаш;;;;
12.03.2022 г.;johnbob@mac.com;руб.848,00;точилка, пенал;;;;
17.02.2022 г.;johnbob@mac.com;руб.1 333,00;ластик, точилка;;;;
10.11.2021 г.;ribet@hotmail.com;руб.967,00;ручка, точилка, фломастер;;;;
09.11.2021 г.;ganter@optonline.net;руб.1 341,00;пенал, карандаш, ручка;;;;
03.01.2022 г.;drewf@optonline.net;руб.582,00;фломастер, карандаш, карандаш;;;;
10.03.2022 г.;knorr@gmail.com;руб.1 432,00;ручка, ластик;;;;
17.09.2021 г.;cderoove@outlook.com;руб.1 460,00;фломастер, точилка, фломастер;;;;
26.10.2021 г.;mavilar@outlook.com;руб.721,00;точилка, точилка, пенал;;;;
15.03.2022 г.;cgcra@sbcglobal.net;руб.1 426,00;ластик, ручка, ластик;;;;
21.02.2022 г.;havyn@yahoo.ca;руб.570,00;ручка, карандаш, фломастер;;;;
22.03.2022 г.;ribet@hotmail.com;руб.697,00;карандаш, точилка, пенал;;;;
10.03.2022 г.;ribet@hotmail.com;руб.1 312,00;точилка, пенал, пенал;;;;
18.12.2021 г.;rjones@comcast.net;руб.802,00;ластик, карандаш, ластик;;;;
11.10.2021 г.;mavilar@outlook.com;руб.1 210,00;пенал, ластик, карандаш;;;;
21.02.2022 г.;fmtbebuck@comcast.net;руб.848,00;фломастер, точилка, ластик;;;;
11.11.2021 г.;cgcra@sbcglobal.net;руб.587,00;точилка, фломастер, карандаш;;;;
02.11.2021 г.;lushe@yahoo.com;руб.944,00;пенал, пенал;;;;
27.02.2022 г.;knorr@gmail.com;руб.1 231,00;карандаш;;;;
20.12.2021 г.;mavilar@outlook.com;руб.1 225,00;ручка, карандаш, ластик;;;;
10.01.2022 г.;ribet@hotmail.com;руб.560,00;фломастер, пенал, пенал;;;;
28.12.2021 г.;bjoern@aol.com;руб.945,00;пенал, точилка, фломастер;;;;
07.11.2021 г.;mdielmann@verizon.net;руб.1 049,00;пенал, фломастер, точилка;;;;
27.03.2022 г.;rjones@comcast.net;руб.816,00;карандаш, фломастер;;;;
27.11.2021 г.;bjoern@aol.com;руб.1 096,00;карандаш, фломастер, пенал;;;;
04.02.2022 г.;rjones@comcast.net;руб.557,00;пенал, фломастер;;;;
07.03.2022 г.;knorr@gmail.com;руб.1 436,00;ручка, пенал, фломастер;;;;
