Дата транзакции;id Клиента;№ операции;Сумма;Статус;email Клиента;Дата первой продажи;Номер когорты;Количество товаров;Товар 1;Товар 2;Товар 3;Товар 3.1;Месяц;Товар 1.1;Товар 2.1;Товар 3.2;Доставка;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26;Unnamed: 27;Unnamed: 28;Unnamed: 29;Unnamed: 30;Unnamed: 31;Unnamed: 32;Unnamed: 33;Unnamed: 34;Unnamed: 35;Unnamed: 36;Unnamed: 37;Unnamed: 38;Unnamed: 39;Unnamed: 40;Unnamed: 41;Unnamed: 42;Unnamed: 43;Unnamed: 44;Unnamed: 45;Unnamed: 46;Продукт 1;Продукт 2;Продукт 3;Продукт 4;Продукт 5;Продукт 6;Продукт 7;Продукт 8;Продукт 9;Продукт 10;Продукт 11;Продукт 12;Продукт 13;Продукт 14;Продукт 15;Продукт 16;Продукт 17
18.03.2021;1 686,00;;5 725;completed;Oliverthomas88@mail.ru;26.02.2021;2;3;1900.0;325.0;3500.0;;3;Маття-латте - 5 шт.;Маття-латте - 1 шт.;Омолаживающий барсучий эликсир;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.11.2021;2185;;1262;completed;lucasbrown1993@gmail.com;18.04.2021;4;2;;325.0;587.0;;11;Маття-латте - 1 шт.;Маття-латте - 1 шт.;Фиточай с чабрецом - 4 пакетика;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.01.2022;2169;;2 815;completed;Liamanderson33@mail.ru;26.01.2022;13;3;325.0;240.0;1900.0;;13;Маття-латте - 1 шт.;Маття-латте - 1 шт.;Маття-латте - 5 шт.;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.09.2021;2304;;4 700;completed;Liamjackson13@outlook.com;16.09.2021;9;3;1900.0;2000.0;800.0;;9;Маття-латте - 5 шт.;Омолаживающий барсучий эликсир;Фиточай с чабрецом - 4 пакетика;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.05.2021;2161;;5 465;completed;Liamlopez33@yahoo.com;22.04.2021;4;3;325.0;240.0;4900.0;;5;Маття-латте - 1 шт.;Маття-латте - 1 шт.;Омолаживающий барсучий эликсир;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.06.2021;3706;;4 840;completed;Isabellataylor69@yahoo.com;24.03.2021;3;3;3500.0;1100.0;240.0;;6;Омолаживающий барсучий эликсир;Маття-латте - 5 шт.;Маття-латте - 1 шт.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.04.2021;2276;;1 477;completed;Isabellamoore1987@outlook.com;16.04.2021;4;2;;587.0;890.0;;4;Маття-латте - 1 шт.;Фиточай с чабрецом - 4 пакетика;Фиточай с чабрецом - 4 пакетика;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.02.2021;3367;;6 025;completed;Williammoore66@yandex.ru;22.02.2021;2;3;4900.0;800.0;325.0;;2;Омолаживающий барсучий эликсир;Фиточай с чабрецом - 4 пакетика;Маття-латте - 1 шт.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.06.2021;3287;;1 712;completed;Williamlopez1987@yahoo.com;19.06.2021;6;3;587.0;800.0;325.0;;6;Фиточай с чабрецом - 4 пакетика;Фиточай с чабрецом - 4 пакетика;Маття-латте - 1 шт.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.07.2021;3888;;6 175;completed;Isabellathomas13@yandex.ru;26.07.2021;7;3;2000.0;325.0;3500.0;;7;Омолаживающий барсучий эликсир;Маття-латте - 1 шт.;Омолаживающий барсучий эликсир;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.10.2021;2745;;4 700;completed;Liambrown66@mail.ru;16.04.2021;4;3;800.0;1900.0;2000.0;;10;Фиточай с чабрецом - 4 пакетика;Маття-латте - 5 шт.;Омолаживающий барсучий эликсир;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.05.2021;2088;;9 000;completed;Liamtaylor2007@yandex.ru;20.05.2021;5;3;3500.0;3500.0;2000.0;;5;Омолаживающий барсучий эликсир;Омолаживающий барсучий эликсир;Омолаживающий барсучий эликсир;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.06.2021;3764;;4 387;completed;Williammoore1993@yandex.ru;30.04.2021;4;3;1900.0;1900.0;587.0;;6;Маття-латте - 5 шт.;Маття-латте - 5 шт.;Фиточай с чабрецом - 4 пакетика;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
