order_id;order_date;client_id;phone;email;brand;channel;items_count;gross_revenue;discount_amount;net_revenue;cogs;delivery_cost;acquisition_cost;order_status
ORD-0000143;2025-01-01;CUST_00064;+79994305700;user_64_472@example.com;SportActive;offline_pos;1;7149.73;0.0;7149.73;3431.87;0.0;1625.1;completed
ORD-0000297;2025-01-02;CUST_00136;+79999214801;user_136_986@example.com;UrbanStyle;online_app;3;17991.88;2698.78;15293.1;6423.1;250.0;1197.6;completed
ORD-0001930;2025-01-02;CUST_00842;+79998694746;user_842_609@example.com;SportActive;online_app;4;25693.86;1284.69;24409.17;11716.4;250.0;1042.11;cancelled
ORD-0001931;2025-01-03;CUST_00843;+79994638539;user_843_702@example.com;SportActive;online_site;4;36379.55;3637.96;32741.59;15715.96;350.0;1624.56;completed
ORD-0001987;2025-01-03;CUST_00872;+79992460891;;UrbanStyle;online_site;3;20523.61;0.0;20523.61;8619.92;350.0;1493.15;cancelled
ORD-0000007;2025-01-04;CUST_00004;+79998090293;;UrbanStyle;online_site;4;21615.22;2161.52;19453.7;8170.55;350.0;1462.28;completed
ORD-0000447;2025-01-04;CUST_00193;+79997724045;;UrbanStyle;offline_pos;1;6060.58;606.06;5454.52;2290.9;0.0;1425.1;completed
ORD-0000461;2025-01-04;CUST_00199;;user_199_882@example.com;UrbanStyle;online_site;2;14689.56;0.0;14689.56;6169.62;350.0;908.68;cancelled
ORD-0000462;2025-01-04;CUST_00200;;user_200_489@example.com;UrbanStyle;online_app;4;27552.89;2755.29;24797.6;10414.99;250.0;1607.52;completed
ORD-0001273;2025-01-04;CUST_00550;+79997278533;user_550_674@example.com;SportActive;online_app;1;6544.31;654.43;5889.88;2827.14;250.0;929.19;cancelled
ORD-0003354;2025-01-04;CUST_01452;+79996937335;user_1452_209@example.com;UrbanStyle;online_app;2;10822.78;541.14;10281.64;4318.29;250.0;1055.63;completed
ORD-0001362;2025-01-05;CUST_00586;;user_586_436@example.com;SportActive;online_site;3;23646.46;3546.97;20099.49;9647.76;350.0;1643.55;completed
ORD-0002740;2025-01-05;CUST_01186;+79993463932;;UrbanStyle;offline_pos;3;17028.42;2554.26;14474.16;6079.15;0.0;1548.26;cancelled
ORD-0002845;2025-01-05;CUST_01237;;user_1237_297@example.com;UrbanStyle;online_app;2;11906.5;1785.97;10120.53;4250.62;250.0;1759.72;completed
ORD-0000030;2025-01-06;CUST_00018;+79995476583;;SportActive;offline_pos;4;28653.34;5730.67;22922.67;11002.88;0.0;1446.19;completed
ORD-0003016;2025-01-06;CUST_01306;+79997893107;user_1306_500@example.com;UrbanStyle;online_site;2;10693.24;1069.32;9623.92;4042.05;350.0;1738.0;completed
ORD-0003279;2025-01-06;CUST_01412;+79998874357;;UrbanStyle;online_site;1;7967.84;398.39;7569.45;3179.17;350.0;1449.06;completed
ORD-0003343;2025-01-06;CUST_01443;;user_1443_848@example.com;UrbanStyle;online_app;4;22798.97;0.0;22798.97;9575.57;250.0;1674.23;completed
ORD-0001030;2025-01-07;CUST_00461;+79997425329;user_461_253@example.com;UrbanStyle;online_site;1;7300.37;365.02;6935.35;2912.85;350.0;1646.79;completed
ORD-0001656;2025-01-07;CUST_00718;+79992690268;user_718_433@example.com;UrbanStyle;online_app;2;12837.27;1925.59;10911.68;4582.91;250.0;1454.37;completed
ORD-0002429;2025-01-07;CUST_01052;+79992764491;user_1052_505@example.com;UrbanStyle;online_site;3;16657.55;2498.63;14158.92;5946.75;350.0;952.39;completed
ORD-0003395;2025-01-07;CUST_01474;+79993186206;user_1474_439@example.com;UrbanStyle;online_site;2;10352.41;1552.86;8799.55;3695.81;350.0;1617.32;completed
ORD-0003452;2025-01-07;CUST_01500;+79991347555;user_1500_212@example.com;SportActive;offline_pos;4;34785.7;3478.57;31307.13;15027.42;0.0;1747.55;completed
ORD-0000313;2025-01-08;CUST_00141;+79993589751;user_141_176@example.com;UrbanStyle;online_app;2;11909.35;1786.4;10122.95;4251.64;250.0;1362.78;completed
ORD-0001905;2025-01-08;CUST_00827;;user_827_860@example.com;SportActive;online_site;2;16330.8;1633.08;14697.72;7054.91;350.0;1669.83;completed
ORD-0002254;2025-01-08;CUST_00976;+79995138170;user_976_353@example.com;UrbanStyle;online_app;3;18895.14;1889.51;17005.63;7142.36;250.0;1725.13;completed
ORD-0002678;2025-01-08;CUST_01155;+79994157826;user_1155_979@example.com;UrbanStyle;online_site;2;10588.47;0.0;10588.47;4447.16;350.0;996.12;completed
ORD-0001564;2025-01-09;CUST_00681;;user_681_800@example.com;UrbanStyle;online_site;3;23797.63;0.0;23797.63;9995.0;350.0;1417.62;completed
ORD-0003182;2025-01-09;CUST_01379;+79996461406;user_1379_794@example.com;UrbanStyle;online_app;1;5271.01;1054.2;4216.81;1771.06;250.0;1521.89;completed
ORD-0000464;2025-01-10;CUST_00202;+79996252285;;UrbanStyle;online_site;2;12819.57;640.98;12178.59;5115.01;350.0;1537.41;completed
ORD-0000547;2025-01-10;CUST_00237;+79999854536;user_237_533@example.com;UrbanStyle;online_site;4;27738.61;1386.93;26351.68;11067.71;350.0;1117.21;completed
ORD-0001316;2025-01-10;CUST_00568;+79995174559;;SportActive;offline_pos;1;9731.61;1459.74;8271.87;3970.5;0.0;1795.41;completed
ORD-0002788;2025-01-10;CUST_01213;;user_1213_284@example.com;SportActive;online_site;2;15909.93;2386.49;13523.44;6491.25;350.0;1341.33;completed
ORD-0002807;2025-01-10;CUST_01223;+79992703045;user_1223_352@example.com;SportActive;offline_pos;2;19150.27;1915.03;17235.24;8272.92;0.0;995.96;completed
ORD-0003075;2025-01-10;CUST_01322;+79993082914;;UrbanStyle;offline_pos;1;6107.3;916.1;5191.2;2180.3;0.0;1376.88;completed
ORD-0003097;2025-01-10;CUST_01336;+79997415127;user_1336_623@example.com;SportActive;online_site;2;14785.86;2217.88;12567.98;6032.63;350.0;945.48;completed
ORD-0002464;2025-01-11;CUST_01071;+79998087921;;UrbanStyle;online_app;2;11088.24;554.41;10533.83;4424.21;250.0;1192.09;completed
ORD-0002846;2025-01-11;CUST_01238;+79997003240;user_1238_296@example.com;UrbanStyle;online_site;3;21401.85;4280.37;17121.48;7191.02;350.0;1293.63;completed
ORD-0001322;2025-01-12;CUST_00573;+79997150383;;SportActive;online_app;3;19966.46;3993.29;15973.17;7667.12;250.0;1097.09;completed
ORD-0001557;2025-01-12;CUST_00675;+79993703298;;UrbanStyle;online_site;3;15458.86;1545.89;13912.97;5843.45;350.0;1464.15;completed
ORD-0001922;2025-01-13;CUST_00836;+79994387856;user_836_565@example.com;UrbanStyle;online_app;4;24212.95;4842.59;19370.36;8135.55;250.0;1172.77;completed
ORD-0001957;2025-01-13;CUST_00856;+79994478434;user_856_918@example.com;SportActive;online_site;4;35089.4;1754.47;33334.93;16000.77;350.0;1055.3;completed
ORD-0003111;2025-01-13;CUST_01342;+79996750028;user_1342_348@example.com;UrbanStyle;online_app;3;22666.61;0.0;22666.61;9519.98;250.0;1314.82;completed
ORD-0001287;2025-01-14;CUST_00554;+79995352450;;UrbanStyle;offline_pos;3;15328.68;0.0;15328.68;6438.05;0.0;1654.86;completed
ORD-0003062;2025-01-14;CUST_01318;;user_1318_867@example.com;UrbanStyle;online_app;2;15802.18;1580.22;14221.96;5973.22;250.0;1164.41;completed
ORD-0000199;2025-01-15;CUST_00084;+79997783308;user_84_841@example.com;UrbanStyle;offline_pos;4;25814.24;3872.14;21942.1;9215.68;0.0;1438.06;completed
ORD-0000638;2025-01-15;CUST_00274;;user_274_889@example.com;UrbanStyle;online_site;3;17098.92;3419.78;13679.14;5745.24;350.0;1639.95;completed
